Model Name,Batch Size,Learning Rate,Epochs,Best Epoch,Train Kappa,Train Accuracy,Train Precision,Train Recall,Train Loss,Val Kappa,Val Accuracy,Val Precision,Val Recall,Val Loss
./model_dual_run_taskA.pth,32,0.0001,20,20,0.8736600306278715,0.75,0.7395450537117204,0.75,0.6677892866887545,0.8669751301330249,0.725,0.7161145617667357,0.725,0.8002501853874752
./model_dual_run_Task B-resnet18 - Two Stage Training with APTOS.pth,32,0.0001,20,6,0.8595812245708048,0.7066666666666667,0.7064363042592707,0.7066666666666667,0.753297652068891,0.8310911808669657,0.675,0.6040346143038068,0.675,0.8835309616156987
./model_dual_run_Task B-resnet34 - Two Stage Training with APTOS.pth,32,0.0001,20,5,0.8611378977820636,0.71,0.6852312496116324,0.71,0.7179533619629709,0.832272990167727,0.68,0.6193124432871739,0.68,0.8994153993470329
./model_dual_run_Task B-vgg16 - Two Stage Training with APTOS.pth,32,0.0001,20,20,0.8002373417721519,0.6316666666666667,0.5919962742104301,0.6316666666666667,0.9314268733325758,0.8204379562043795,0.675,0.6067598703664278,0.675,0.933222940989903
./model_dual_run_taskC_Self_Attention.pth,32,0.0001,20,14,0.93701370878103,0.855,0.8579297035523584,0.855,0.4595562517642975,0.8398268398268398,0.695,0.6864220713563484,0.695,0.8798894286155701
./model_dual_run_taskC_Spatial_Attention.pth,32,0.0001,20,7,0.9149232914923292,0.8383333333333334,0.8362034958060601,0.8383333333333334,0.4712908456200047,0.8735832606800349,0.7,0.6816860590390001,0.7,0.8569749167987278
