Model Name,Batch Size,Learning Rate,Epochs,Best Epoch,Train Kappa,Train Accuracy,Train Precision,Train Recall,Train Loss,Val Kappa,Val Accuracy,Val Precision,Val Recall,Val Loss
./model_dual_run_DL_FP_task B - run #1 - resnet34.pth,32,0.0001,20,15,0.8872260190241645,0.8143344709897611,0.7973319805560384,0.8143344709897611,0.4896772520049758,0.8811162475403199,0.825136612021858,0.8005205600218301,0.825136612021858,0.5475684180855751
./model_dual_run_DL_FP_task B - run #1 - resnet34.pth,32,0.0001,20,18,0.8691162927135965,0.8095563139931741,0.7953013613833737,0.8095563139931741,0.5226277679852818,0.8736569579288026,0.8142076502732241,0.8357027149614462,0.8142076502732241,0.4788742959499359
